file|inserts|updates|deletes|tables_written
hr|49|56|3|anonymous_upward_reviews,approval_actions,approval_chains,approval_chain_steps,approval_requests,attendance,attendance_deductions,attendance_policies,below,company_documents,delegations,email_queue,employee_assignments,employee_development_plans,employee_documents,employee_monthly_attendance,employee_shift_assignments,employee_transfers,employee_violations,evaluation_cycles,evaluation_participants,evaluation_summaries,hr_employee_loans,hr_excuse_requests,hr_leave_balances,hr_leave_requests,hr_loan_installments,hr_overtime_requests,leave_approval_stages,loan_accounts,official_letters,payroll_deductions,payroll_lines,payroll_runs,peer_evaluations,performance_reviews,public_holidays,salary_components,settings,shifts,system_evaluations,whatsapp_queue,
properties|17|22|1|approval_actions,contract_payment_schedule,inside,late_rent_actions,maintenance_requests,property_buildings,property_inspections,property_owners,property_security_deposits,property_units,rental_contracts,rent_payments,status,tasks,technicians,tenants,to,
finance-purchase|14|3|0|approval_actions,goods_receipt_items,goods_receipts,payment_run_items,payment_runs,purchase_order_items,purchase_orders,purchase_request_items,purchase_requests,
finance-invoices|13|16|0|approval_actions,budgets,clients,collection_follow_ups,credit_memos,customer_advances,debit_memos,dunning_letters,event_logs,inside,invoice_lines,invoices,journal_entries,
warehouse|12|14|0|inventory_count_items,inventory_counts,purchase_request_items,purchase_requests,suppliers,warehouse_categories,warehouse_movements,warehouse_products,warehouse_stock_batches,
employees|12|15|0|approval_requests,attendance_policies,below,email_queue,employee_assignments,employee_contracts,employees,employee_salary_components,employee_shift_assignments,hr_leave_balances,hr_leave_requests,leave_approval_stages,onboarding_tasks,salary_history,tasks,users,
communications|12|5|1|communications_log,crm_opportunities,pbx_calls,push_subscriptions,requests,support_tickets,tasks,whatsapp_queue,
umrah|11|18|0|umrah_agent_invoices,umrah_agents,umrah_import_logs,umrah_packages,umrah_penalties,umrah_pilgrims,umrah_seasons,umrah_transport,umrah_violations,
governance|11|13|1|governance_audits,governance_capa,governance_compliance,governance_policies,governance_risks,policy_compliance_actions,policy_module_links,
admin|11|8|7|audit_violations,custom_roles,email_queue,employee_assignments,event_dlq,integrations,refresh_tokens,role_permissions,system_stops,user_roles,users,
requests|9|2|0|approval_actions,communications_log,requests,request_types,workflows,
projects|9|12|0|project_costs,project_milestones,project_phases,project_resources,project_risks,projects,project_task_dependencies,project_tasks,that,
fleet|9|27|0|fleet_drivers,fleet_fuel_logs,fleet_gps_tracking,fleet_insurance,fleet_maintenance,fleet_preventive_plans,fleet_traffic_violations,fleet_trips,fleet_vehicles,status,
umrah-entities|8|14|1|clients,employee_commission_plans,employee_commission_tiers,umrah_groups,umrah_nusk_invoices,umrah_pricing,umrah_sales_invoices,umrah_sub_agents,
finance-algorithms|8|5|0|bank_statements,chart_of_accounts,depreciation_entries,fixed_assets,fx_rates,fx_revaluations,journal_lines,
documents|8|8|0|by,document_entity_links,document_folders,documents,document_templates,document_versions,to,
accounting-engine|8|3|2|accounting_mappings,chart_of_accounts,journal_entry_template_lines,journal_entry_templates,subsidiary_accounts,
settings|7|8|5|approval_chains,branches,companies,departments,settings,system_settings,user_roles,
crm|7|5|0|clients,crm_activities,crm_opportunities,path,
finance-vendors|6|2|0|approval_actions,suppliers,
finance-journal|6|14|0|approval_actions,budgets,financial_periods,gov_integration_links,journal_entries,journal_lines,
support|5|12|0|email_queue,kb_articles,status,support_tickets,the,ticket_csat_ratings,ticket_replies,
notification-engine|5|4|4|notification_fallback_chains,notification_preferences,notification_routing_rules,notification_templates,notification_webhooks,
legal|5|8|0|legal_cases,legal_contracts,legal_correspondence,legal_judgments,legal_sessions,
workflows|4|1|2|sla_definitions,workflow_definitions,workflow_steps,
training|4|6|0|approval_actions,training_enrollments,training_programs,
hr-discipline|4|7|0|attendance_deductions,employee_violations,hr_discipline_regulation,hr_inquiry_memo_events,hr_inquiry_memos,
finance-hardening|4|6|0|bank_guarantees,financial_periods,financial_posting_failures,for,intercompany_transactions,journal_entries,projects,
bi|4|2|1|alert_mute_rules,bi_dashboards,bi_kpis,bi_reports,smart_alerts,
store|3|6|0|store_order_items,store_orders,store_products,
finance-zatca|3|7|0|invoices,journal_entries,zatca_settings,zatca_submission_log,
entityMeta|3|0|2|approval_actions,entity_comments,entity_tags,
clients|3|3|0|client_portal_accounts,clients,
recruitment|2|5|0|job_applications,job_postings,
permissions|2|0|2|permissions,role_permissions,
pdpl|2|0|0|data_access_requests,processing_activities_log,
operationsCenter|2|0|0|audit_logs,daily_close_log,
hr-loans|2|3|0|hr_employee_loans,hr_loan_installments,
hr-exit|2|3|0|employee_assignments,hr_exit_clearance,hr_exit_requests,
hr-contracts|2|9|0|employee_contracts,
gov-integrations|2|5|0|gov_integration_links,gov_integrations,
finance-budget|2|2|0|budget_approval_requests,budgets,
digital-signature|2|1|0|digital_signature_logs,digital_signature_otps,
correspondence|2|3|0|correspondence,
clientPortal|2|5|0|client_portal_accounts,kb_articles,ticket_csat_ratings,ticket_replies,
careersPortal|2|2|0|applicant_accounts,job_applications,
auth|2|8|0|refresh_tokens,users,
tasks|1|2|0|tasks,
scheduled-reports|1|1|1|scheduled_reports,
rules|1|3|0|business_rules,
publicData|1|0|0|password_reset_requests,
notifications|1|2|0|notification_preferences,notifications,
marketing|1|3|0|marketing_campaigns,
hr-overtime|1|3|0|hr_overtime_requests,
finance-recurring|1|2|0|recurring_journals,
finance-custodies|1|2|0|approval_actions,journal_entries,
finance-cost-centers|1|2|0|cost_centers,
finance-collection|1|0|0|invoice_collection_stages,
finance-accounts|1|2|0|chart_of_accounts,
storage|0|0|0|
search|0|0|0|
obligations|0|2|0|obligations,
mySpace|0|0|0|
moduleDashboards|0|0|0|
intelligence|0|1|0|smart_alerts,
index|0|0|0|
impactPreview|0|0|0|
health|0|0|0|
finance-reports|0|0|0|
export|0|0|0|
execDashboard|0|0|0|
events|0|0|0|
dashboard|0|0|0|
calendar|0|0|0|
automation|0|2|0|cron_jobs,proactive_rules,
auditLogs|0|0|0|
approvalActions|0|0|0|
activityLog|0|0|0|
activityIngest|0|0|0|
actionCenter|0|0|0|
